id,Service Type,Eligibility Criteria,Pricing,Booking Process,Limitations,Hazardous Materials,Fragile Items,Oversized Cargo,Availability,Additional Costs,Required Documents,Customer Reviews,Contact for More Info,Live Animals,Temperature-Controlled,Customs Clearance,Documentation
1,Express Shipping,All customers,Variable based on weight and distance,Online booking or call,Maximum weight limit of 50 kg,No,Yes,No,24/7,Insurance fees may apply,Shipping label and ID,4.5/5,Contact us for details,Yes,No,Yes,Required customs forms
2,Freight Forwarding,Businesses only,Custom pricing,Email or phone booking,Size and weight restrictions apply,No,No,Yes,On request,Customs fees may apply,Commercial invoices,4.0/5,Contact us for details,No,No,Yes,Customs documentation required
3,Parcel Delivery,Residential and commercial,Flat rate per package,Online booking or app,Package size limitations,No,No,No,Weekdays 9 AM - 6 PM,Additional fees for expedited service,Shipping label,4.8/5,Visit our website for details,No,No,No,Shipping receipt provided
4,International Shipping,All customers,Varies by destination,Online booking or visit our office,Customs regulations apply,No,Yes,No,Varies by country,Import duties and taxes,Customs declaration,4.2/5,Contact us for details,No,No,Yes,Customs forms and invoices
5,Specialized Freight,Businesses and individuals,Quote based on requirements,Phone or email inquiry,Special handling needed,No,No,Yes,By appointment,Additional fees for special handling,Special handling instructions,4.7/5,Contact us for details,No,Yes,Yes,Specialized cargo documentation
6,Same-Day Delivery,All customers,Flat rate per delivery,Phone call or app booking,Same-day delivery in local areas,No,No,No,Same day,Additional charges for rush orders,Delivery confirmation,4.9/5,Contact us for details,No,No,No,Delivery receipt provided
7,Vehicle Transport,Individuals and dealers,Depends on distance and vehicle type,Online booking or phone inquiry,Size and weight restrictions apply,No,No,No,Scheduled dates,Vehicle inspection fee,Vehicle title and registration,4.4/5,Visit our website for details,No,No,Yes,Transportation manifest
8,Refrigerated Transport,Businesses and suppliers,Per mile or temperature-controlled container,Email or phone booking,Temperature-sensitive cargo,No,No,No,24/7,Refrigeration surcharge,Temperature log,4.6/5,Contact us for details,No,Yes,Yes,Refrigeration compliance documents
9,Sea Freight,Importers and exporters,Freight rates per container,Online booking or agent contact,Container size restrictions apply,No,No,Yes,Varies by route,Port charges and handling fees,Bill of lading,4.3/5,Visit our website for details,No,No,Yes,Shipping manifest
10,Courier Service,All customers,Flat rate per delivery,Online booking or app,Small package size,No,No,No,24/7,Additional charges for rush deliveries,Shipping label and ID,4.7/5,Visit our website for details,No,No,No,Delivery confirmation
